Carimbo de data/hora,Nome do pesquisador,Local da pesquisa,Qual a sua idade?,Qual o gênero com o qual você se identifica?,Você se autodeclara em relação a raça/cor?,Em qual bairro você mora? Caso não esteja listado responder na próxima pergunta.,Bairro (Outro):,Qual sua atividade principal,Você possui alguma atividade secundária?,Existe um local seguro para guardar bicicleta no meu local de estudo,Por qual motivo você não usa bicicleta para ir para escola/faculdade/curso?,"Você utiliza bicicleta nos seus deslocamentos, mesmo que de forma secundária ou poucas vezes no mês?",Com que frequência você pedala,Você tem medo de acidentes quando pedala em Fortaleza?,O que precisa melhorar para que você pedale de forma mais confortável e segura em Fortaleza? (pode marcar várias),Seus destinos de trabalho/estudo/lazer ou outros são próximos de você? (Até 15min),Porque você escolhe andar de bicicleta? (Pode marcar várias),Você concorda com as seguintes afirmações? [Existem ciclovias ou ciclofaixas no meu bairro que são confortáveis de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Existem ruas calmas no meu bairro que são confortáveis de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Há uma alta taxa de criminalidade no meu bairro que me impede/prejudica a andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Há muito trânsito ou congestionamento no meu caminho para trabalho/estudo/outros que me impediria de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [As ruas no meu caminho diário são mal conservadas]_ciclista,Você concorda com as seguintes afirmações? [Meus colegas de trabalho/estudo utilizam bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Quando criança aprendi ou fui incentivado a andar de bicleta]_ciclista,Porque você não anda mais de bicicleta? (Pode marcar várias),Você concorda com as seguintes afirmações? [Existem ciclovias ou ciclofaixas no meu bairro que são confortáveis de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Existem ruas calmas no meu bairro que são confortáveis de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Há uma alta taxa de criminalidade no meu bairro que me impede/prejudica a andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Há muito trânsito ou congestionamento no meu caminho para trabalho/estudo/outros que me impediria de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [As ruas no meu caminho diário são mal conservadas]_nciclista,Você concorda com as seguintes afirmações? [Meus colegas de trabalho/estudo utilizam bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Possuo bicicleta em casa],Você concorda com as seguintes afirmações? [Tenho acesso a bicicleta de outra pessoa ou de bicicletas públicas],Você concorda com as seguintes afirmações? [Meus destinos de trabalho/estudo/outros são proximos da minha casa (15min)],Você concorda com as seguintes afirmações? [Tenho medo de sofrer um acidente de trânsito],Você concorda com as seguintes afirmações? [Quando criança aprendi ou fui incentivado a andar de bicleta]_nciclista,Qual meio de transporte você mais utiliza no dia a dia para suas atividades diárias? (Modo principal),"Você utiliza algum outro meio de transporte secundário? (se não, deixar em branco)",Você gostaria de mudar seu meio de transporte principal? Para qual modo?,Utilizo mais de um ônibus para realizar minha atividade principal trabalho/estudo/outros.,Um dos ônibus que eu pego nas minhas viagens diárias faz uma viagem de curta distância (15min).,Existem locais para guardar minha bicicleta ao longo do meu caminho para minha atividade diária trabalho/estudo/outros.,O que lhe impede de usar bicicleta integrando com o ônibus (usar bicicleta e ônibus) nos seus deslocamentos diários? (Pode marcar várias),Um caminho ou trecho totalmente separado da rua e dos veículos,"Uma rua residencial tranquila, sem ciclofaixa","Uma rua residencial tranquila, com ciclofaixa","Uma rua comercial de bairro, sem ciclofaixa ou ciclovia","Uma rua comercial de bairro, com ciclofaixa ou ciclovia","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, sem ciclofaixa ou ciclovia","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, com ciclofaixa","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, com ciclovia","Uma rodovia, com 4 faixas por sentido e velocidades altas, sem ciclofaixa ou ciclovia.","Uma rodovia, com 4 faixas por sentido e velocidades altas, com ciclofaixa.","Uma rodovia, com 4 faixas por sentido e velocidades altas, com ciclovia.",Você gostaria de pedalar mais do que atualmente?,Você pedalou nos últimos 30 dias?,"Qual é a renda total do seu domicílio? Ou seja, a soma dos rendimentos de todos que moram na sua casa.",Você aprendeu ou foi estimulado a aprender a andar de bicicleta na infância?,SR,Tipo de ciclistas,Ciclista,no_sense
2024-02-29T15:17:04.601Z,,Centro da Messejana,18 - 25,Masculino,Pardo (a),Serrinha,,Trabalho fixo,,,,Utilizou muito pouco,,,,,,,,,,,,Concordo,"Não tenho bicicleta, Não sei andar de bicicleta, Tenho medo de sofrer um acidente andando de bicicleta",Concordo totalmente,Concordo totalmente,Concordo parcialmente,Concordo parcialmente,Concordo parcialmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,,Ônibus Municipal ou Vans,Uber carro,Carro,Sim,Concordo fortemente,Sim,"Má qualidade do estacionamento / dificuldade de usar., Não sei andar de bicicleta, Tenho medo de andar de bicicleta",5 - Muito confortável,4,4,3,3,1 - Muito desconfortável,1 - Muito desconfortável,3,1 - Muito desconfortável,1 - Muito desconfortável,2,4 - Concordo,Não,Mais de 5 salários mínimos,,SR 8,"Interessado, mas preocupado",Não ciclista,FALSE
2024-02-29T15:24:52.196Z,,Centro da Messejana,36-40,Masculino,Branco (a),Meireles,,Trabalho fixo,,,,Sim,Mais de 2 vezes por semana,4 - Considero seguro,"Mais ciclovias e ciclofaixas, Ciclovias e ciclofaixas mais seguras, Conforto térmico (temperatura na rua), Menos obstáculos nas ciclovias e ciclofaixas (lixo, árvores, resíduos, etc.), Distância em relação aos carros, motos e outros meios, Local seguro para guardar a bicicleta",Não,"É mais rápido, É mais barato, Gosto de andar de bicicleta (é prazeroso), É bom pra minha saúde mental",Concordo,Concordo,Discordo,Concordo parcialmente,Discordo,Concordo,,,,,,,,,,,,,,Bicicleta,Ônibus Municipal ou Vans,Não gostaria,,,,,5 - Muito confortável,5 - Muito confortável,4,3,4,2,4,4,1 - Muito desconfortável,4,4,3 - Não sei dizer,Sim,Mais de 5 salários mínimos,Sim,SR 2,Entusiasmado e confiante,Ciclista,FALSE
2024-03-04T11:57:38.196Z,,Centro da Messejana,36-40,Masculino,Branco (a),Meireles,,Trabalho fixo,,,,Utilizou muito pouco,,,,,,,,,,,,Concordo totalmente,É muito quente em Fortaleza para andar de bicicleta,Concordo totalmente,Concordo totalmente,Concordo,Discordo totalmente,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,,Dirigindo carro,,Bicicleta,,,,,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,2,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,4,5 - Muito confortável,5 - Concordo fortemente,Sim,Mais de 5 salários mínimos,,SR 2,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-04T12:03:32.835Z,,Centro da Messejana,36-40,Masculino,Pardo (a),Antônio Bezerra,,Trabalho fixo,,,,Não,,,,,,,,,,,,Concordo,"Não tenho bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, É muito quente em Fortaleza para andar de bicicleta, Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta",Discordo,Concordo,Concordo parcialmente,Concordo totalmente,Concordo parcialmente,Concordo,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo totalmente,,Dirigindo carro,Uber carro,Metrô ou VLT,,,,,3,3,3,1 - Muito desconfortável,2,1 - Muito desconfortável,1 - Muito desconfortável,2,1 - Muito desconfortável,1 - Muito desconfortável,2,3 - Não sei dizer,Não,Mais de 5 salários mínimos,,SR 3,De jeito nenhum,Não ciclista,FALSE
2024-03-04T15:32:50.434Z,,Centro da Messejana,31-35,Masculino,Pardo (a),Aldeota,,Trabalho fixo,,,,Utilizo pouco (+/-1 vez por mês),Mais de 2 vezes por semana,"3 - Nem seguro, nem inseguro","Conforto térmico (temperatura na rua), Menos buracos nas ruas, Menos obstáculos nas ciclovias e ciclofaixas (lixo, árvores, resíduos, etc.)",Sim,"Gosto de andar de bicicleta (é prazeroso), Faço exercícios enquanto ando de bicicleta., É bom pra minha saúde mental",Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo,Concordo,Concordo,,,,,,,,,,,,,,Dirigindo carro,Bicicleta,Bicicleta,,,,,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,3,5 - Muito confortável,2,4,5 - Muito confortável,1 - Muito desconfortável,4,5 - Muito confortável,5 - Concordo fortemente,Sim,Mais de 5 salários mínimos,Sim,SR 2,Entusiasmado e confiante,Ciclista,FALSE
2024-03-05T08:09:25Z,,Centro da Messejana,46-50,Feminino,Pardo (a),Barroso,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo,Não gosto de andar de bicicleta,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,,Uber moto,A pé,Não gostaria,,,,,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,3 - Não sei dizer,Não,Entre 1 e 2 salários mínimos,,SR 9,De jeito nenhum,Não ciclista,FALSE
2024-03-05T08:21:42.238Z,,Centro da Messejana,46-50,Feminino,Pardo (a),Serrinha,,Trabalho intermitente,,,,Não utilizo,,,,,,,,,,,,Discordo totalmente,Não sei andar de bicicleta,Concordo totalmente,Concordo,Discordo,Discordo,Concordo parcialmente,Discordo totalmente,Concordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,,Ônibus Municipal ou Vans,,Carro,Sim,Discordo,Sim,Não sei andar de bicicleta,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,2 - Discordo,Não,Entre 1 e 2 salários mínimos,,SR 8,Entusiasmado e confiante,Não ciclista,TRUE
2024-03-05T08:22:26.522Z,,Centro da Messejana,41-45,Masculino,Branco (a),Lagoa Redonda,,Trabalho fixo,,,,Utilizo sempre,5 ou mais vezes por semana,1 - Tenho muito medo,Segurança pública (em relação a assaltos),Não,"Não tenho outra opção, É mais rápido, É mais barato, É bom pra minha saúde mental",Discordo,Concordo parcialmente,Discordo,Discordo,Concordo,Concordo parcialmente,,,,,,,,,,,,,,Bicicleta,Motocicleta,Motocicleta,,,,,1 - Muito desconfortável,5 - Muito confortável,2,1 - Muito desconfortável,3,1 - Muito desconfortável,2,5 - Muito confortável,1 - Muito desconfortável,2,5 - Muito confortável,4 - Concordo,Sim,Entre 2 e 3 salários mínimos,Sim,SR 6,De jeito nenhum,Ciclista,FALSE
2024-03-05T08:27:33.876Z,,Centro da Messejana,71-80,Masculino,Pardo (a),Outro,Sao miguel,Aposentado (a),,,,Utilizo raramente,,,,,,,,,,,,Concordo parcialmente,"Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado, Não gosto de andar de bicicleta, Não há ciclovias ou ciclofaixas no meu caminho",Concordo parcialmente,Concordo,Concordo,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Concordo parcialmente,Concordo parcialmente,,A pé,Ônibus Municipal ou Vans,Bicicleta,,,,,4,1 - Muito desconfortável,2,1 - Muito desconfortável,2,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,3,3 - Não sei dizer,Sim,Menor que 1 salário mínimo,,,"Interessado, mas preocupado",Não ciclista,FALSE
2024-03-05T08:27:49.478001Z,,Centro da Messejana,41-45,Masculino,Pardo (a),Jangurussu,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Discordo,Não sei andar de bicicleta,Discordo,Concordo,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo totalmente,Discordo totalmente,Discordo,,Ônibus Municipal ou Vans,Uber moto,Não gostaria,Sim,Concordo fortemente,Não,Não sei andar de bicicleta,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Discordo fortemente,Não,Entre 2 e 3 salários mínimos,,SR 9,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-05T08:28:17.017Z,,Centro da Messejana,41-45,Feminino,Amarelo (a),Outro,Luciano Cavalcante,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo,Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta,Concordo,Concordo,Discordo,Concordo parcialmente,Concordo parcialmente,Concordo,Concordo,Concordo,Discordo totalmente,Concordo parcialmente,,Ônibus intermunicipal,Uber moto,Carro,Não se aplica,Discordo fortemente,Não sei,Distância da viagem,5 - Muito confortável,1 - Muito desconfortável,4,3,5 - Muito confortável,1 - Muito desconfortável,3,4,1 - Muito desconfortável,4,2,4 - Concordo,Não,Entre 1 e 2 salários mínimos,,,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-05T08:32:20.693Z,,Centro da Messejana,26-30,Masculino,Branco (a),Conjunto Esperança,,Trabalho fixo,,,,Utilizo sempre,Uma vez por semana,4 - Considero seguro,"Conforto térmico (temperatura na rua), Menos obstáculos nas ciclovias e ciclofaixas (lixo, árvores, resíduos, etc.), Segurança pública (em relação a assaltos)",Não,"Gosto de andar de bicicleta (é prazeroso), Faço exercícios enquanto ando de bicicleta., É bom pra minha saúde mental",Discordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo parcialmente,Concordo totalmente,,,,,,,,,,,,,,Uber carro,Uber moto,Carro,,,,,5 - Muito confortável,3,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,4 - Concordo,Sim,Entre 4 e 5 salários mínimos,Sim,SR 10,Entusiasmado e confiante,Ciclista,FALSE
2024-03-05T08:33:23.423Z,,Centro da Messejana,41-45,Feminino,Preto (a),Henrique Jorge,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo,Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta,Concordo,Concordo,Discordo,Concordo,Concordo parcialmente,Discordo,Concordo,Concordo parcialmente,Discordo,Concordo,,Ônibus Municipal ou Vans,Uber moto,Carro,Sim,Concordo,Não,"Falta de estacionamento ou local para guardar a bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado andando de bicicleta",5 - Muito confortável,4,4,1 - Muito desconfortável,4,1 - Muito desconfortável,3,4,1 - Muito desconfortável,3,3,4 - Concordo,Não,Entre 2 e 3 salários mínimos,,SR 11,"Interessado, mas preocupado",Não ciclista,FALSE
2024-03-05T08:33:44.225Z,,Centro da Messejana,31-35,Masculino,Branco (a),Messejana,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Discordo totalmente,Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,,Ônibus Municipal ou Vans,Uber moto,Motocicleta,Sim,Discordo,Sim,Distância da viagem,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,4,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,4 - Concordo,Não,Entre 1 e 2 salários mínimos,,SR 6,"Interessado, mas preocupado",Não ciclista,FALSE
2024-03-05T08:36:57.135Z,,Centro da Messejana,26-30,Feminino,Pardo (a),Edson Queiroz,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo totalmente,"Não tenho bicicleta, Não sei andar de bicicleta",Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,,Ônibus Municipal ou Vans,Carona de carro,Carro,Sim,Concordo fortemente,Sim,"Não gosto de bicicleta, Não tenho bicicleta",4,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,4,1 - Muito desconfortável,3,3,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Discordo fortemente,Não,Menor que 1 salário mínimo,,SR 7,De jeito nenhum,Não ciclista,FALSE
2024-03-05T08:38:55.965Z,,Centro da Messejana,18 - 25,Feminino,Pardo (a),Messejana,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo totalmente,"Não tenho bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado, Não há ciclovias ou ciclofaixas no meu caminho, A qualidade das ciclovias e ciclofaixas no meu caminho é indequada",Discordo totalmente,Discordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,,Carona de carro,Uber moto,Não gostaria,,,,,5 - Muito confortável,3,4,1 - Muito desconfortável,4,1 - Muito desconfortável,2,4,1 - Muito desconfortável,3,5 - Muito confortável,5 - Concordo fortemente,Não,Entre 1 e 2 salários mínimos,,SR 6,"Interessado, mas preocupado",Não ciclista,FALSE
2024-03-05T08:39:28.855Z,,Centro da Messejana,46-50,Masculino,Branco (a),Messejana,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo,Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta,Concordo,Concordo,Concordo,Concordo,Concordo parcialmente,Concordo,Discordo,Discordo,Discordo,Discordo,,Dirigindo carro,Motocicleta,Carro,,,,,5 - Muito confortável,3,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,4 - Concordo,Não,Menor que 1 salário mínimo,,SR 6,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-05T08:40:13.986Z,,Centro da Messejana,26-30,Feminino,Pardo (a),Messejana,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo,"Não tenho bicicleta, Não sei andar de bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, É muito quente em Fortaleza para andar de bicicleta, Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta, Não há ciclovias ou ciclofaixas no meu caminho, A qualidade das ciclovias e ciclofaixas no meu caminho é indequada",Concordo parcialmente,Concordo,Concordo parcialmente,Concordo,Discordo,Concordo,Discordo,Discordo,Discordo,Concordo,,Ônibus Municipal ou Vans,Uber moto,Carro,Sim,Concordo,Não,"Distância da viagem, Não sei andar de bicicleta, Não tenho bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, É muito quente em Fortaleza para andar de bicicleta",5 - Muito confortável,4,,,,,,,,,,,,Prefiro não responder,,SR 6,,Não ciclista,TRUE
2024-03-05T08:42:01.135Z,,Centro da Messejana,46-50,Feminino,Pardo (a),Outro,Lagoa redonda,Trabalho fixo,,,,Utilizo sempre,5 ou mais vezes por semana,1 - Tenho muito medo,"Mais ciclovias e ciclofaixas, Ciclovias e ciclofaixas mais seguras, Qualidade das ciclovias e ciclofaixas",Sim,"É mais rápido, É mais barato",Discordo totalmente,Concordo parcialmente,Discordo,Discordo,Concordo totalmente,Concordo totalmente,,,,,,,,,,,,,,Ônibus Municipal ou Vans,Bicicleta,Não gostaria,Não,Concordo,Sim,,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,3 - Não sei dizer,Sim,Entre 2 e 3 salários mínimos,Sim,,Entusiasmado e confiante,Ciclista,TRUE
2024-03-05T08:42:27.861Z,,Centro da Messejana,18 - 25,Feminino,Amarelo (a),Jardim Das Oliveiras,,Trabalho fixo,,,,Utilizo sempre,Mais de 2 vezes por semana,1 - Tenho muito medo,"Ciclovias e ciclofaixas mais seguras, Menos buracos nas ruas, Distância em relação aos carros, motos e outros meios",Sim,"Gosto de andar de bicicleta (é prazeroso), Faço exercícios enquanto ando de bicicleta.",Concordo,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Discordo totalmente,,,,,,,,,,,,,,Uber carro,Ônibus Municipal ou Vans,Motocicleta,,,,,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,5 - Concordo fortemente,Sim,Entre 1 e 2 salários mínimos,Sim,,Entusiasmado e confiante,Ciclista,FALSE
2024-03-05T08:46:28.386Z,,Centro da Messejana,18 - 25,Feminino,Pardo (a),Genibaú,,Trabalho fixo,,,,Utilizo raramente,,,,,,,,,,,,Concordo,"Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta, Não há um lugar seguro para guardar a minha bicicleta, A qualidade das ciclovias e ciclofaixas no meu caminho é indequada",Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,,Motocicleta,Ônibus Municipal ou Vans,Carro,,,,,5 - Muito confortável,3,4,2,5 - Muito confortável,1 - Muito desconfortável,3,5 - Muito confortável,1 - Muito desconfortável,4,4,4 - Concordo,Sim,Entre 1 e 2 salários mínimos,,SR 11,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-05T08:47:00.751Z,,Centro da Messejana,46-50,Feminino,Pardo (a),Novo Mondubim,,Dono (a) de casa,,,,Utilizo pouco (+/-1 vez por mês),Uma vez por semana,2 - Tenho medo,"Mais ciclovias e ciclofaixas, Menos buracos nas ruas, Segurança pública (em relação a assaltos)",Sim,"É mais rápido, Qualidade do ônibus é muito ruim, Faço exercícios enquanto ando de bicicleta., É bom pra minha saúde mental",Concordo,Discordo,Concordo,Concordo,Concordo,Concordo,,,,,,,,,,,,,,Uber moto,Bicicleta,Carro,,,,,4,2,4,4,5 - Muito confortável,1 - Muito desconfortável,4,4,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,2 - Discordo,Não,Entre 3 e 4 salários mínimos,Sim,SR 10,Entusiasmado e confiante,Ciclista,FALSE
2024-03-05T08:47:47.155Z,,Centro da Messejana,46-50,Masculino,Pardo (a),Jangurussu,,Trabalho fixo,,,,Utilizo raramente,,,,,,,,,,,,Concordo totalmente,,Discordo totalmente,Concordo,Discordo,Discordo totalmente,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,,Ônibus Municipal ou Vans,Uber moto,Motocicleta,Sim,Discordo fortemente,Sim,,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,4 - Concordo,Não,Entre 2 e 3 salários mínimos,,SR 9,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-05T08:47:51.797Z,,Centro da Messejana,46-50,Masculino,Preto (a),Outro,Itaitinga,Trabalho fixo,,,,Utilizo raramente,,,,,,,,,,,,Concordo totalmente,Não há um lugar seguro para guardar a minha bicicleta,Discordo totalmente,Discordo totalmente,Discordo totalmente,Discordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,,Ônibus intermunicipal,Bicicleta,Não gostaria,Não,Concordo,Sim,Tenho medo de ser assaltado andando de bicicleta,5 - Muito confortável,2,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,2,4,5 - Muito confortável,4,1 - Discordo fortemente,Sim,Entre 1 e 2 salários mínimos,,,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-05T08:51:04.506999Z,,Centro da Messejana,51-55,Feminino,Preto (a),Outro,Jurema,Trabalho fixo,,,,Utilizo sempre,Mais de 2 vezes por semana,1 - Tenho muito medo,"Mais ciclovias e ciclofaixas, Ciclovias e ciclofaixas mais seguras, Opções de hidratação, Menos buracos nas ruas, Menos obstáculos nas ciclovias e ciclofaixas (lixo, árvores, resíduos, etc.)",Não,Faço exercícios enquanto ando de bicicleta.,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,,,,,,,,,,,,,,Uber moto,,Não gostaria,,,,,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,4 - Concordo,Sim,Entre 1 e 2 salários mínimos,Sim,,Entusiasmado e confiante,Ciclista,FALSE
2024-03-05T08:51:25.314001Z,,Centro da Messejana,31-35,Feminino,Preto (a),Guajeru,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo totalmente,"Não tenho bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado, A qualidade das ciclovias e ciclofaixas no meu caminho é indequada",Discordo totalmente,Concordo parcialmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,,Carona de carro,Uber carro,Não gostaria,,,,,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,4,5 - Muito confortável,4 - Concordo,Não,Entre 1 e 2 salários mínimos,,,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-05T08:53:52.275Z,,Centro da Messejana,61-70,Feminino,Pardo (a),Messejana,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Discordo totalmente,"Tenho medo de sofrer um acidente andando de bicicleta, Sofreu um acidente de bicicleta e não andou mais.",Discordo totalmente,Concordo parcialmente,Discordo,Concordo,Concordo totalmente,Discordo,Concordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,,Ônibus Municipal ou Vans,Carona de carro,Não gostaria,Sim,Concordo fortemente,Não,Tenho medo de sofrer um acidente andando de bicicleta,5 - Muito confortável,4,4,1 - Muito desconfortável,3,1 - Muito desconfortável,3,3,1 - Muito desconfortável,3,3,1 - Discordo fortemente,Não,Prefiro não responder,,SR 6,De jeito nenhum,Não ciclista,FALSE
2024-03-05T08:55:46.435Z,,Centro da Messejana,41-45,Feminino,Pardo (a),Lagoa Redonda,,Dono (a) de casa,,,,Utilizo sempre,5 ou mais vezes por semana,"3 - Nem seguro, nem inseguro","Mais ciclovias e ciclofaixas, Conforto térmico (temperatura na rua), Local seguro para guardar a bicicleta",Sim,"É mais barato, Gosto de andar de bicicleta (é prazeroso)",Discordo,Discordo,Discordo,Discordo,Discordo,Concordo totalmente,,,,,,,,,,,,,,Bicicleta,Ônibus intermunicipal,Carro,,,,,5 - Muito confortável,4,5 - Muito confortável,2,4,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,4,5 - Concordo fortemente,Sim,Menor que 1 salário mínimo,Sim,SR 6,Entusiasmado e confiante,Ciclista,FALSE
