Carimbo de data/hora,Nome do pesquisador,Local da pesquisa,Qual a sua idade?,Qual o gênero com o qual você se identifica?,Você se autodeclara em relação a raça/cor?,Em qual bairro você mora? Caso não esteja listado responder na próxima pergunta.,Bairro (Outro):,Qual sua atividade principal,Você possui alguma atividade secundária?,Existe um local seguro para guardar bicicleta no meu local de estudo,Por qual motivo você não usa bicicleta para ir para escola/faculdade/curso?,"Você utiliza bicicleta nos seus deslocamentos, mesmo que de forma secundária ou poucas vezes no mês?",Com que frequência você pedala,Você tem medo de acidentes quando pedala em Fortaleza?,O que precisa melhorar para que você pedale de forma mais confortável e segura em Fortaleza? (pode marcar várias),Seus destinos de trabalho/estudo/lazer ou outros são próximos de você? (Até 15min),Porque você escolhe andar de bicicleta? (Pode marcar várias),Você concorda com as seguintes afirmações? [Existem ciclovias ou ciclofaixas no meu bairro que são confortáveis de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Existem ruas calmas no meu bairro que são confortáveis de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Há uma alta taxa de criminalidade no meu bairro que me impede/prejudica a andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Há muito trânsito ou congestionamento no meu caminho para trabalho/estudo/outros que me impediria de andar de bicicleta]_ciclista,Você concorda com as seguintes afirmações? [As ruas no meu caminho diário são mal conservadas]_ciclista,Você concorda com as seguintes afirmações? [Meus colegas de trabalho/estudo utilizam bicicleta]_ciclista,Você concorda com as seguintes afirmações? [Quando criança aprendi ou fui incentivado a andar de bicleta]_ciclista,Porque você não anda mais de bicicleta? (Pode marcar várias),Você concorda com as seguintes afirmações? [Existem ciclovias ou ciclofaixas no meu bairro que são confortáveis de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Existem ruas calmas no meu bairro que são confortáveis de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Há uma alta taxa de criminalidade no meu bairro que me impede/prejudica a andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Há muito trânsito ou congestionamento no meu caminho para trabalho/estudo/outros que me impediria de andar de bicicleta]_nciclista,Você concorda com as seguintes afirmações? [As ruas no meu caminho diário são mal conservadas]_nciclista,Você concorda com as seguintes afirmações? [Meus colegas de trabalho/estudo utilizam bicicleta]_nciclista,Você concorda com as seguintes afirmações? [Possuo bicicleta em casa],Você concorda com as seguintes afirmações? [Tenho acesso a bicicleta de outra pessoa ou de bicicletas públicas],Você concorda com as seguintes afirmações? [Meus destinos de trabalho/estudo/outros são proximos da minha casa (15min)],Você concorda com as seguintes afirmações? [Tenho medo de sofrer um acidente de trânsito],Você concorda com as seguintes afirmações? [Quando criança aprendi ou fui incentivado a andar de bicleta]_nciclista,Qual meio de transporte você mais utiliza no dia a dia para suas atividades diárias? (Modo principal),"Você utiliza algum outro meio de transporte secundário? (se não, deixar em branco)",Você gostaria de mudar seu meio de transporte principal? Para qual modo?,Utilizo mais de um ônibus para realizar minha atividade principal trabalho/estudo/outros.,Um dos ônibus que eu pego nas minhas viagens diárias faz uma viagem de curta distância (15min).,Existem locais para guardar minha bicicleta ao longo do meu caminho para minha atividade diária trabalho/estudo/outros.,O que lhe impede de usar bicicleta integrando com o ônibus (usar bicicleta e ônibus) nos seus deslocamentos diários? (Pode marcar várias),Um caminho ou trecho totalmente separado da rua e dos veículos,"Uma rua residencial tranquila, sem ciclofaixa","Uma rua residencial tranquila, com ciclofaixa","Uma rua comercial de bairro, sem ciclofaixa ou ciclovia","Uma rua comercial de bairro, com ciclofaixa ou ciclovia","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, sem ciclofaixa ou ciclovia","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, com ciclofaixa","Uma importante rua da cidade com  2 faixas de tráfego por sentido e velocidades altas, com ciclovia","Uma rodovia, com 4 faixas por sentido e velocidades altas, sem ciclofaixa ou ciclovia.","Uma rodovia, com 4 faixas por sentido e velocidades altas, com ciclofaixa.","Uma rodovia, com 4 faixas por sentido e velocidades altas, com ciclovia.",Você gostaria de pedalar mais do que atualmente?,Você pedalou nos últimos 30 dias?,"Qual é a renda total do seu domicílio? Ou seja, a soma dos rendimentos de todos que moram na sua casa.",Você aprendeu ou foi estimulado a aprender a andar de bicicleta na infância?,SR,Tipo de ciclistas,Ciclista,no_sense
2024-03-05T12:02:11.007Z,,Centro da Messejana,26-30,Feminino,Pardo (a),Outro,Mucuripe,Dono (a) de casa,,,,Não utilizo,,,,,,,,,,,,Concordo,Não tenho bicicleta,Discordo,Discordo,Concordo,Discordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo,,Carona de carro,,Não gostaria,,,,,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,,,Prefiro não responder,,,Entusiasmado e confiante,Não ciclista,TRUE
2024-03-05T12:05:15.565Z,,Centro da Messejana,18 - 25,Masculino,Preto (a),Vicente Pinzon,,Trabalho fixo,,,,Utilizo sempre,5 ou mais vezes por semana,"3 - Nem seguro, nem inseguro",Mais ciclovias e ciclofaixas,Não,"É mais rápido, Qualidade do ônibus é muito ruim, Faço exercícios enquanto ando de bicicleta., É bom pra minha saúde mental",Discordo,Concordo,Concordo parcialmente,Discordo totalmente,Discordo totalmente,Concordo,,,,,,,,,,,,,,Bicicleta,Ônibus Municipal ou Vans,Motocicleta,,,,,,,,,,,,,,,,,,Menor que 1 salário mínimo,Sim,SR 2,,Ciclista,TRUE
2024-03-05T12:05:47.068Z,,Centro da Messejana,36-40,Masculino,Indígena (a),Vila União,,Trabalho intermitente,,,,Utilizo raramente,,,,,,,,,,,,Concordo,Não há ciclovias ou ciclofaixas no meu caminho,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,,A pé,Metrô ou VLT,Carro,,,,,5 - Muito confortável,3,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,3,3 - Não sei dizer,Não,Entre 1 e 2 salários mínimos,,SR 4,Entusiasmado e confiante,Não ciclista,FALSE
2024-03-05T12:08:09.123Z,,Centro da Messejana,41-45,Feminino,Pardo (a),Messejana,,Trabalho intermitente,,,,Não utilizo,,,,,,,,,,,,Discordo totalmente,"Não tenho bicicleta, Tenho medo de ser assaltado, É muito quente em Fortaleza para andar de bicicleta, Não gosto de andar de bicicleta",Discordo totalmente,Discordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,,Uber moto,A pé,Não gostaria,,,,,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,2,2,1 - Muito desconfortável,2,1 - Muito desconfortável,1 - Muito desconfortável,2,2,4 - Concordo,Não,Entre 1 e 2 salários mínimos,,SR 6,"Interessado, mas preocupado",Não ciclista,FALSE
2024-03-05T12:08:16.587Z,,Centro da Messejana,26-30,Masculino,Preto (a),Vila União,,Trabalho fixo,,,,Utilizo pouco (+/-1 vez por mês),Mais de 2 vezes por semana,1 - Tenho muito medo,"Mais ciclovias e ciclofaixas, Conforto térmico (temperatura na rua), Opções de hidratação, Qualidade das ciclovias e ciclofaixas, Menos buracos nas ruas, Distância em relação aos carros, motos e outros meios, Os carros e outros meios de transporte trafegassem/andassem mais devagar, Segurança pública (em relação a assaltos)",Sim,"É mais rápido, É mais barato, Qualidade do ônibus é muito ruim, Faço exercícios enquanto ando de bicicleta., É bom pra minha saúde mental",Discordo totalmente,Concordo parcialmente,Discordo,Concordo totalmente,Concordo parcialmente,Discordo totalmente,,,,,,,,,,,,,,A pé,Motocicleta,Não gostaria,,,,,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,5 - Muito confortável,4 - Concordo,Sim,Menor que 1 salário mínimo,Sim,SR 4,Entusiasmado e confiante,Ciclista,FALSE
2024-03-05T12:08:47.282Z,,Centro da Messejana,18 - 25,Masculino,Pardo (a),Barroso,,Estudo/Faculdade/Educação,,Não sei,Não sei andar de bicicleta,Não utilizo,,,,,,,,,,,,Concordo,Não sei andar de bicicleta,Discordo,Concordo,Concordo,Discordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,,Ônibus Municipal ou Vans,,Carro,Sim,Concordo fortemente,Não,Não sei andar de bicicleta,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,1 - Muito desconfortável,5 - Concordo fortemente,Não,Menor que 1 salário mínimo,,SR 9,Forte e destemido,Não ciclista,TRUE
2024-03-05T12:09:52.105Z,,Centro da Messejana,18 - 25,Feminino,Pardo (a),Outro,Abreolandia,Estudo/Faculdade/Educação,,Sim,,Não utilizo,,,,,,,,,,,,Concordo,Não tenho bicicleta,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo totalmente,Concordo,Discordo,Discordo totalmente,Concordo,,Ônibus Municipal ou Vans,Uber moto,Carro,Sim,Discordo,Sim,Não tenho bicicleta,5 - Muito confortável,1 - Muito desconfortável,5 - Muito confortável,1 - Muito desconfortável,,,,,,,,,,Entre 2 e 3 salários mínimos,,,,Não ciclista,TRUE
2024-03-05T12:11:03.794Z,,Centro da Messejana,26-30,Feminino,Branco (a),Outro,Eusébio,Estudo/Faculdade/Educação,,Sim,É muito longe,Não utilizo,,,,,,,,,,,,Concordo,Muito distante,Discordo,Discordo,Discordo,Concordo,Discordo,Discordo,Concordo,Discordo,Discordo,Concordo,,Ônibus Municipal ou Vans,Uber carro,Não gostaria,Sim,Concordo,Não,"Distância da viagem, Má qualidade do estacionamento / dificuldade de usar., Tenho medo de sofrer um acidente andando de bicicleta, É muito quente em Fortaleza para andar de bicicleta",5 - Muito confortável,5 - Muito confortável,5 - Muito confortável,2,3,1 - Muito desconfortável,3,2,1 - Muito desconfortável,2,3,4 - Concordo,Sim,Entre 2 e 3 salários mínimos,,,"Interessado, mas preocupado",Não ciclista,FALSE
2024-03-05T12:12:18.561Z,,Centro da Messejana,71-80,Masculino,Pardo (a),Parangaba,,Aposentado (a),,,,Não utilizo,,,,,,,,,,,,Concordo,"Não tenho bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado, Não há um lugar seguro para guardar a minha bicicleta, Não gosto de andar de bicicleta",Concordo,Concordo,Discordo,Concordo,Concordo,Concordo,Discordo totalmente,Concordo,Discordo totalmente,Concordo parcialmente,,,,,,,,,,,,,,,,,,,,,,Prefiro não responder,,SR 4,,Não ciclista,TRUE
2024-03-05T12:12:45.385Z,,Centro da Messejana,18 - 25,Feminino,Pardo (a),Messejana,,Trabalho fixo,,,,Não utilizo,,,,,,,,,,,,Concordo totalmente,"Não tenho bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, Tenho medo de ser assaltado, É muito quente em Fortaleza para andar de bicicleta, Meu local de trabalho/estudo/lazer/ outros é muito distante para ir de bicicleta, A qualidade das ciclovias e ciclofaixas no meu caminho é indequada",Discordo,Concordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo,Discordo,Discordo,Discordo,Discordo,,Ônibus Municipal ou Vans,,Motocicleta,Sim,Discordo fortemente,Sim,"Distância da viagem, Falta de estacionamento ou local para guardar a bicicleta, Má qualidade do estacionamento / dificuldade de usar., Não tenho bicicleta, Tenho medo de sofrer um acidente andando de bicicleta, É muito quente em Fortaleza para andar de bicicleta, Tenho medo de ser assaltado andando de bicicleta",5 - Muito confortável,2,3,1 - Muito desconfortável,4,2,4,4,1 - Muito desconfortável,4,4,3 - Não sei dizer,Não,Entre 2 e 3 salários mínimos,,SR 6,Entusiasmado e confiante,Não ciclista,FALSE
